"max(`INSPECTION DATE`)",Number_of_violations,AIRPORT
16/12/2013,25,KTN
16/11/2016,117,ABI
16/11/2015,66,ABE
16/11/2013,2,PLN
16/10/2016,1,ABI
16/10/2015,46,ABE
16/10/2014,77,ABE
16/10/2013,10,FLG
16/09/2016,56,ABI
16/09/2015,85,ABE
16/09/2014,79,ABE
16/09/2013,5,NULL
16/08/2017,108,ABE
16/08/2016,111,ABE
16/08/2014,12,CLL
16/08/2013,3,TPA
16/07/2016,5,DLH
16/07/2015,77,ABI
16/07/2014,67,BGR
